,date,title,description,source
26,2021-01-26 06:10:00-08:00,Loop Media expands music video service via Amazon Prime Video,"Loop Media (OTCPK:LPTV) announced a significant expansion of its new ""Loop"" consumer music video app via Amazon Fire TV.The Loop music video app includes 19 curated linear music channels, as well as playlists curated by mood, genre, and charts.Loop Media's expansion of its music video service across all Amazon channels—both consumer and business—means that artists and labels have a major new way to reach their fans, especially as touring has ground to a halt amid pandemic.",Seeking Alpha
27,2021-01-26 05:59:49-08:00,"Amazon plans to create 3,000 jobs in Boston with new office expansion","The new roles will be added over the next several years and are expected to support Amazon's AWS, Alexa, robotics and pharmacy teams.",CNBC
28,2021-01-26 05:30:06-08:00,"Loop Media, Inc. Expands Its Music Video Service Into The Consumer Market With Amazon Prime Video","Loop Media’s New Consumer App Is Now Available On Amazon Fire TV, Extending Its Existing Loop.tv Business App and Bringing One of The Deepest Libraries of Music Videos to In-Home and Out-Of-Home ...",GlobeNewswire
29,2021-01-26 05:00:00-08:00,Span Accelerates with $20M in Funding and Amazon Alexa Integration,"Span, the company that reinvented the electrical panel so you can intelligently monitor and control your clean energy home, has secured an additional ...",PR Newswire
30,2021-01-26 03:03:00-08:00,"vit™ Brand Launch Brings Value And Accessibility To The Wellness Space With $10, Clean-Label Supplements Available Now On Amazon","vit health, LLC is thrilled to announce the launch of its first vitamin and supplement line, vit, available now on Amazon. More than a year in the...",PR Newswire
31,2021-01-26 01:00:00-08:00,"Amazon Expands Boston Tech Hub With Plans to Create 3,000 New Jobs","BOSTON--(BUSINESS WIRE)--Amazon (NASDAQ: AMZN) today announced plans to expand its Boston Tech Hub and create more than 3,000 new corporate and technology jobs over the next several years. The new roles will support teams across the company, including Alexa, Amazon Web Services (AWS), Amazon Robotics, and Amazon Pharmacy. Over the last decade, Amazon has invested more than $6.2 billion in Massachusetts and created more than 20,000 jobs across customer fulfillment, retail, corporate and technology functions.",BusinessWire
32,2021-01-26 01:00:00-08:00,Amazon Extends Its Boston Footprint With Seaport Office Lease,Amazon.com Inc. is taking more office space in Boston’s Seaport district.,Bloomberg
33,2021-01-25 23:29:00-08:00,"Amazon Set to Hire 3,000 Corporate Employees in Boston",,Wall Street Journal
34,2021-01-25 07:49:00-08:00,Amazon continues legal battle over Future Group's $3.4B retail asset sale,"Amazon (NASDAQ:AMZN) has taken another legal swing at partner Future Group's $3.4B sale of its retail assets, according to a new Indian court filing viewed by Reuters.The e-commerce giant asks the court to block Future's deal with Reliance and to detain Future Group CEO Kishore Biyani and some other respondents in civil prison.Amazon says Future has ""deliberately"" violated a Singapore arbitrator decision that put the deal on hold and that the violation requires ""some consequences.""When Future first announced the potential retail sale, Amazon said the move breached a clause in the 2019 Future-Amazon deal prohibiting retail asset sales to a list of ""restricted persons,"" which included Reliance.Last week, the Indian stock exchange gave permission for the Future deal to move ahead after communications with the market regulator.Background: Amazon in dispute with partner in India",Seeking Alpha
35,2021-01-25 06:09:49-08:00,Finland’s Wolt raises $530 million to try and take on Amazon,"Wolt, a food delivery app that's expanded into groceries and retail, has raised $530 million as it tries to take on Amazon.",CNBC
36,2021-01-25 05:56:00-08:00,"Glucose Health, Inc. - New 2-Pack GLUCODOWN® Raspberry # 1 at Amazon",New GLUCODOWN® 2-Pack Raspberry arrived at Amazon last week – and is already trending across Amazon.com as a # 1 New Release. Amazon affixes the # 1...,PR Newswire
37,2021-01-25 03:53:05-08:00,Amazon asks court to block Future's asset sale to Reliance after Indian exchanges' approval -filing,"Amazon.com Inc has requested an Indian court to block partner Future Group's $3.4 billion deal to sell its retail assets to Reliance Industries , in its latest attempt to derail the transaction, a court filing seen by Reuters showed.",Reuters
38,2021-01-25 03:36:25.733000-08:00,Amazon Asks India Court to Jail Retail Tycoon in Legal Spat,"Amazon.com Inc. has filed a petition in an Indian court seeking detention of Future Group’s founder and seizure of assets for violating an arbitration court’s order that temporarily halted the sale of its retail operations to Reliance Industries Ltd., people with knowledge of the matter said.",Bloomberg
39,2021-01-25 03:30:00-08:00,"Global Online Groceries Market Report 2020 Featuring Ocado Zoom, Waitrose, Sainsbury's, Instacart, Amazon, just-eat, Deliveroo, Uber Eats, Doordash, Delivery Hero, & Glovo","The ""The Future Of Online Groceries - Ultra Fast Convenience 2020"" report has been added to ResearchAndMarkets.com's offering. As online penetration...",PR Newswire
40,2021-01-25 01:36:44-08:00,From Amazon to Alibaba: Here are Citi's top U.S. and China tech picks for 2021,There are concerns that the giants of American and Chinese tech could come under further regulatory scrutiny this year.,CNBC
41,2021-01-24 20:02:42-08:00,European lenders exit Amazon oil trade after scrutiny by campaigners,"Credit Suisse, Dutch lender ING and France's BNP Paribas have decided to stop financing the trade in crude oil from Ecuador, the banks said on Monday, following pressure from campaigners aiming to protect the Amazon rainforest.",Reuters
42,2021-01-23 13:00:00.001000-08:00,"Hedge Funds Beef Up Tech Holdings Before Apple, Amazon Earnings",Hedge funds have fallen back in love with technology giants after spending the final months of last year cutting back on these stocks.,Bloomberg
43,2021-01-23 07:00:01-08:00,"What the Biden administration means for Amazon: New union push, antitrust scrutiny could lie ahead ","Amazon could be looking at antitrust reform, stronger privacy standards and a new push for workers' rights, among other issues, under the new administration.",CNBC
44,2021-01-22 13:45:58-08:00,SC 13G/A Form - [Amend] Statement of acquisition of beneficial ownership by individuals - AMAZON COM INC (0001018724) (Subject),[Amend] Statement of acquisition of beneficial ownership by individuals,SEC
45,2021-01-22 11:45:02-08:00,New Brazil coronavirus variant found in nearly half of Amazon city cases,"A variant of the novel coronavirus already accounts for about half of new infections in the Brazilian Amazonian city of Manaus, raising concerns about a greater risk of spread, a researcher warned on Friday.",Reuters
46,2021-01-22 11:04:00-08:00,Amazon Seeks to Postpone Alabama Unionization Vote,,Wall Street Journal
47,2021-01-22 10:06:00-08:00,Amazon files objections to Alabama union vote,"Last month, the National Labor Relations Board ruled that Amazon (NASDAQ:AMZN) warehouse workers in Bessemer, Alabama, could proceed with a union vote.Amazon has now filed a motion asking the board to halt the election, which is scheduled to start February 8 with mail-in voting.The e-commerce giant is also objecting the the board allowing mail-in rather than in-person voting.In the motion, Amazon accuses the board of multiple gaps in precedent, errors by the regional director, and a failure to improve the mail-in ballot process.Bessemer would be the first Amazon union vote in the United States since 2014. If the vote is successful, the facility would be Amazon's first in the U.S. to have a union.Background: Federal regulator says Amazon warehouse workers in Alabama can proceed with union vote",Seeking Alpha
48,2021-01-22 09:09:00-08:00,"McAfee shares gain as UBS highlights PC, Amazon strengths","Gaining confidence in the growth trajectory for the company's consumer franchise, UBS rates McAfee (NASDAQ:MCFE) at Buy and raises the price target from $20 to $23.Analyst Fatima Boolani notes strong Q4 PC shipment data and the estimated 3M net subscriber adds in 2020, which would establish a strong renewal base for 2021.Boolani thinks the consumer franchise can continue percentage gains in the teens range.The analyst also notes the ""Amazon Prime SoHo"" opportunity. In a partnership announced last November, McAfee provides exclusive offers for Amazon's Business Prime members in the United States.Boolani calls the late February Q4 report the next major catalyst as management ""continues to establish execution credibility and investor engagement.""McAfee shares are up 3.5% to $19.99.The cybersecurity pioneer returned to public trading in October 2020, raising $740M in the offering.",Seeking Alpha
49,2021-01-22 08:40:11-08:00,"EU lawmakers want Amazon, Apple, Facebook, Google CEOs at Feb. 1 hearing","EU lawmakers have invited the chief executives of Amazon, Apple, Facebook and Alphabet to a Feb. 1 hearing in Brussels as they try to crack down on the powers of U.S. tech giants.",Reuters
50,2021-01-22 08:36:48-08:00,Amazon seeks to halt union election at Alabama warehouse,"Amazon.com Inc has filed a motion asking the U.S. National Labor Relations Board to halt the union election at its Bessemer, Alabama warehouse, scheduled to start Feb. 8.",Reuters
51,2021-01-22 08:06:00-08:00,"New Wealth Building Book, ""Build Wealth Like a Shark,"" Becomes Amazon #1 Bestseller","""Build Wealth Like a Shark,"" a new book by Scott Keffer, Kevin Harrington, and 29 of North American's leading authorities reached the #1 bestseller...",PR Newswire
52,2021-01-22 07:28:55.362000-08:00,Amazon Requests In-Person Union Vote in Covid-Hit Alabama,Amazon.com Inc. is asking the National Labor Relations Board to consider having workers vote in person -- rather than by mail -- on a proposal to form a union at an Alabama warehouse.,Bloomberg
53,2021-01-22 05:33:00-08:00,"Amazon PPC Agency Client Hits Unprecedented $500,000 in PPC Sales in a Month","Noted Amazon PPC Agency, Sponsored Profit, is happy to report that one of its clients hit an unprecedented milestone of $500,000 in PPC sales for...",PR Newswire
54,2021-01-22 04:00:56.646000-08:00,"With Democrats Running Antitrust, Amazon and Apple Aren’t Safe","They could be considered just as dominant as Facebook and Google, which have already been sued.",Bloomberg
55,2021-01-22 03:34:05-08:00,"Cloud-based Office Productivity Software Industry 2020-2027 - Worldwide Market Shares for Adobe, Amazon, Apple, Google, HP, IBM, Microsoft and Other Competitors","Dublin, Jan. 22, 2021 (GLOBE NEWSWIRE) -- The ""Cloud Based Office Productivity Software - Global Market Trajectory & Analytics"" report has been added to ResearchAndMarkets.com's offering.This...",GlobeNewswire
56,2021-01-22 02:30:00-08:00,"Amazon Needs Electric Vehicles, Too",,Wall Street Journal
57,2021-01-22 02:19:36-08:00,Amazon to hike fees for Spanish users after new digital tax,"Amazon will raise fees for Spanish companies using its platform by 3% from April after the government imposed a digital tax, a company document seen by Reuters showed.",Reuters
58,2021-01-22 02:14:39-08:00,Amazon to raise fees on Spanish vendors due to new digital tax - report,"U.S. tech giant Amazon will raise fees for Spanish companies using its platform to sell their wares in response a digital tax imposed by the government, El Confidencial reported on Friday.",Reuters
59,2021-01-21 19:16:05-08:00,Amazon to open pop-up COVID-19 vaccine clinic in Seattle headquarters,"Amazon Inc said on Thursday it will open a pop-up clinic in its Seattle headquarters on Jan. 24 with an aim to vaccinate 2,000 eligible members of the public against COVID-19 on the first day.",Reuters
60,2021-01-21 17:19:25-08:00,Amazon will open pop-up Covid vaccine clinic in Seattle,"The one-day clinic has a goal of administering 2,000 vaccines to eligible members of the public in the Seattle area.",CNBC
61,2021-01-21 15:08:00-08:00,Federal Judge Denies Parler’s Bid to Force Amazon to Resume Service,"The judge ruled that Parler’s claims didn’t meet the threshold for a preliminary injunction, though the court wasn’t yet dismissing the company’s claims against Amazon.",Wall Street Journal
62,2021-01-21 12:55:30-08:00,Judge refuses to force Amazon to put Parler back online,"U.S. District Judge Barbara Rothstein sided with Amazon in an order on Thursday, saying AWS was well within its rights to deny web hosting services to Parler. ",CNBC
63,2021-01-21 12:18:56-08:00,Parler loses bid to have service restored by Amazon,"A federal judge on Thursday rejected Parler's demand that Amazon.com Inc restore web hosting services for the social media platform, which Amazon had cut off following the Jan. 6 storming of the U.S. Capitol.",Reuters
64,2021-01-21 12:18:56-08:00,Parler loses bid to require Amazon to restore service,"A U.S. federal judge on Thursday rejected Parler's demand that Amazon.com Inc restore web hosting services for the social media platform, which Amazon had cut off following the Jan. 6 storming of the U.S. Capitol.",Reuters
65,2021-01-21 08:53:00-08:00,Amazon Rallied 74% Last Year. This Analyst Sees More Gains Ahead.,"Bank of America’s Justin Post sees strong growth prospects, given still-low e-commerce penetration, expanded fulfillment capacity, and the shift toward cloud computing.",Barrons
66,2021-01-21 06:15:00-08:00,Will Amazon Stock Split: The Share Split Trend,,Seeking Alpha Stock Ideas
67,2021-01-21 05:53:00-08:00,LanguageLine for Educators Now Available on Amazon,"Educators can now access professional LanguageLine interpreters through Amazon, the global leader in language services announced today. School...",PR Newswire
68,2021-01-21 05:30:49-08:00,American Green’s (OTC:ERBB) Grand Opening on Amazon is a Success,"PHOENIX, AZ, Jan. 21, 2021 (GLOBE NEWSWIRE) -- via NewMediaWire -- Today American Green (ERBB:OTC) announces that the Company’s launch on Amazon of their exclusive line of specialty Hemp Cream was a...",GlobeNewswire
69,2021-01-21 05:16:06-08:00,"Here are Thursday's biggest analyst calls of the day: Apple, Amazon, Microsoft, SolarEdge & more",Here are the biggest calls on Wall Street on Thursday.,CNBC
70,2021-01-21 05:04:00-08:00,"Barron’s Daily: Amazon, Honeywell, and Other Big Businesses Want to Help You Get Vaccinated. Here’s Why.",,Barrons
71,2021-01-21 04:42:00-08:00,Amazon price target lifted at BofA despite tough summer comps,"Despite the tougher upcoming comps, BofA boosts Amazon's (NASDAQ:AMZN) price target from $3,650 to $4,000 and maintains a Buy rating.Analyst Justin Post notes that Amazon was a key COVID-19 beneficiary due to the surge in online shopping, which will set up tougher comps through summer.The analyst still sees ""strong growth prospects with eCommerce penetration still low, a large uptick in fulfillment capacity, and ongoing shift to the Cloud.""The firm's estimates for Amazon's Q4 report are above the Street, and Post sees a potential Q1 beat on the continuing lockdowns and stimulus checks.For 2021, BofA forecasts revenue/EBITDA of $447B/ $67.7Bversus the $450B/68B consensus estimate.Key quote: ""With significant fulfillment capacity coming online in ‘21 (creating growth opportunity), and easier comps in ‘22, we think AMZN could see multiple expansion in 2H’21.""Amazon shares are up 0.6% pre-market to $3,285.Yesterday, Amazon shares surged after the company offered President Biden assistance with the administration's 100M vaccines in 100 days target.",Seeking Alpha
72,2021-01-21 02:34:13-08:00,"Insights on the High Performance Computing Global Market to 2026 - Featuring Amazon Web Services, Atos and Advanced Micro Devices Among Others","Dublin, Jan. 21, 2021 (GLOBE NEWSWIRE) -- The ""High Performance Computing Market by Component, Infrastructure, Services, Price Band, HPC Applications, Deployment Types, Industry Verticals, and...",GlobeNewswire
73,2021-01-20 19:27:00-08:00,Amazon Offers To Help Vaccinate 100M Americans In First 100 Days Of Biden Administration,"Amazon.com, Inc (NASDAQ: AMZN) wants to help the new administration in the distribution of COVID-19 vaccines, as per a letter written by Dave Clark, CEO of the e-commerce giant's worldwide consumer business, CNBC reported Wednesday. What Happened: Clark wrote to President Joe Biden that...",Benzinga
74,2021-01-20 11:56:19.446000-08:00,‘Amazon Grace’ Tweet Misfire From EU’s Vestager Cheering Biden,EU competition chief Margrethe Vestager spent most of Donald Trump’s presidency bringing U.S. tech giants to heel -- and for a few minutes on Wednesday there was no hiding it.,Bloomberg
75,2021-01-20 11:48:04-08:00,Read the full letter Amazon sent to Biden offering to help with Covid-19 vaccines,"Dave Clark, who runs Amazon’s retail operations, wrote a letter to President Joe Biden offering to help with the nation's Covid-19 vaccination efforts. ",CNBC
76,2021-01-20 11:43:02-08:00,Indian stock exchanges clear Future-Reliance deal in setback for Amazon,"Indian stock exchanges on Wednesday gave the go ahead for Future Group's $3.4 billion deal to sell its retail assets, taking it a step closer toward closing a deal that has soured its ties with its business partner Amazon.com Inc.",Reuters
77,2021-01-20 10:59:50-08:00,Amazon offers to help U.S. with vaccine in letter to President Biden,"Amazon.com Inc on Wednesday offered to help with the United States' efforts involving the COVID-19 vaccine, according to a letter addressed to President Joe Biden, seen by Reuters.",Reuters
78,2021-01-20 09:02:37-08:00,Amazon sues EU antitrust regulators for letting Italian case go ahead,"Amazon is suing EU antitrust regulators for allowing the Italian competition watchdog to pursue its own case against the U.S. online retail giant over the way it selects sellers, arguing that this should be wrapped into an EU investigation.",Reuters
79,2021-01-20 05:17:00-08:00,Encryption Consulting Accepting Enrollment into its Amazon Web Services (AWS) Crypto Training Course,"As organizations migrate to the cloud, they want to fully utilize the affordability, elasticity and scalability aspects of the Cloud. However, this...",PR Newswire
80,2021-01-19 22:28:31-08:00,Amazon Needs To Efficiently Manage Dilution To Support Shareholder Rewards,,Seeking Alpha Stock Ideas
81,2021-01-19 14:46:57-08:00,"Deep in remote Amazon, indigenous villagers receive coronavirus vaccine","Brazilian military flew medical personnel and 1,000 doses of a Chinese vaccine deep into the Amazon rainforest on Tuesday to start inoculating indigenous people against the coronavirus.",Reuters
82,2021-01-19 08:36:00-08:00,Amazon-linked EV startup Rivian closes $2.65B investment round,"EV startup and Amazon (NASDAQ:AMZN) partner Rivian has closed a new $2.65B investment round. A TechCrunch source puts the post-money valuation at $27.6B.T. Rowe Price-advised (NASDAQ:TROW) accounts and funds led the round with participants including Fidelity Management, Coatue, and Amazon's Climate Pledge Fund.Rivian has now raised $8B in two years.In summer 2021, the company will start production on its electric pickup truck.In February 2019, Amazon led a $700M fundraising round for Riviian. Seven months later, Amazon announced plans to purchase 100,000 Rivian electric delivery vehicles. Amazon revealed the first of those custom models last October.",Seeking Alpha
83,2021-01-19 07:45:00-08:00,"Global Publishing Market (2021 to 2025) - Featuring Amazon, Pearson and Thomson Reuters Among Others - ResearchAndMarkets.com","DUBLIN--(BUSINESS WIRE)--The ""Global Publishing Market 2021-2025"" report has been added to ResearchAndMarkets.com's offering.",BusinessWire
84,2021-01-19 06:00:00-08:00,Amazon Teams Up with Pharrell Williams’ YELLOW and Georgia Tech to Launch New Music Remix Competition to Inspire Students to Pursue Computer Science,"SEATTLE--(BUSINESS WIRE)--Amazon (NASDAQ: AMZN), Pharrell Williams’ education equity nonprofit YELLOW, and the Georgia Institute of Technology today announced a new educational collaboration called “Your Voice is Power” to encourage middle and high school students to share their voice on equity while learning to code new music remixes. The “Your Voice is Power” collaboration includes five teaching modules with lesson plans that teach coding while kick-starting meaningful conversations among students and their teachers about the importance of racial justice. This collaboration concludes with a competition for students to share their own voices through remixing Pharrell’s new song “Entrepreneur” using computer code on Georgia Tech’s learn-to-code-through-music platform, EarSketch. “Your Voice is Power” is the latest initiative between Amazon Future Engineer, Amazon Music, and Georgia Tech to expand computer science education to more students from underserved communities and groups currently underrepresented in tech. “Your Voice Is Power” is hoping to attract upwards of 100,000 students as a way to add unique, meaningful, and entrepreneurial-minded content to their current virtual learning experiences.",BusinessWire
85,2021-01-19 04:05:00-08:00,HempFusion’s Wholly Owned Subsidiary Probulin Probiotics Launches Amazon Store and Expands Brick and Mortar Product Selection,"DENVER--(BUSINESS WIRE)--HempFusion Wellness Inc. (TSX:CBD.U) (“HempFusion” or the “Company”), a leading health and wellness CBD company utilizing the power of whole-food hemp nutrition, is pleased to announce that its wholly owned subsidiary, Probulin Probiotics, LLC (“Probulin”), has increased its product selection in certain brick and mortar locations and expanded its distribution on Amazon through a unique eCommerce store within the Amazon platform. The broader product selection is available in major brick and mortar stores including Sprouts and Fresh Thyme and includes the Company’s new Probulin Total Care Immune product.",BusinessWire
86,2021-01-19 02:00:58-08:00,EXCLUSIVE-India plans foreign investment rule changes that could hit Amazon,* India government spokesman says policy change being considered,Reuters
87,2021-01-19 01:55:50-08:00,"Look out, Amazon: BofA says these online drugstore stocks may beat you out","Bank of America has predicted a ""big bang"" for the European e-pharmacy sector and named stocks they think will outperform, even if Amazon enters the market.",CNBC
88,2021-01-19 00:10:00-08:00,Reeco Lures Amazon Fresh to Whittier Shopping Center in Long-Term Lease Deal,"Reeco, a Southern California based real estate brokerage serving residential and commercial customers, has completed the lease of an approximately...",PR Newswire
89,2021-01-18 21:00:00-08:00,Amazon (AMZN) to Scale Up AWS With New Office in Greece,Amazon (AMZN) opens a new office in Greece to expand cloud services therein.,Zacks Equity Research
90,2021-01-18 06:13:00-08:00,Amazon-Backed Deliveroo Is Now Worth $7 Billion. An IPO Is on the Menu.,The British food delivery company raised $180 million in its latest funding round and confirmed plans for an IPO for the first time.,Barrons
91,2021-01-18 00:59:35-08:00,Amazon to open two new hubs in Italy this year,"Amazon will open two new logistics centres in Italy this year, investing over 230 million euros ($278 million), the world's largest online retailer said on Monday.",Reuters
92,2021-01-17 10:04:50-08:00,Amazon faces backlash from Indian ruling party lawmakers over web series 'Tandav',"A local official from India's ruling Hindu nationalist party on Sunday registered a police complaint against an Amazon Prime web series alleging it insults Hindu gods and goddesses, and threatened to launch a protest at the company's office in Mumbai.",Reuters
93,2021-01-16 06:00:01-08:00,Parler's de-platforming shows the exceptional power of cloud providers like Amazon,"Parler survived being pushed out of Apple and Google's app stores, but getting kicked off Amazon's cloud has made Parler absent from the internet for days.",CNBC
94,2021-01-15 14:10:00-08:00,Amazon Is Accused of Driving Up the Price of E-Books,A lawsuit filed Friday alleges a pricing deal between e-commerce giant and top five publishers hurts competition.,Wall Street Journal
95,2021-01-15 10:50:47-08:00,Amazon warehouse workers will vote to unionize in Alabama on Feb. 8,"Roughly 6,000 employees at the Alabama warehouse will begin voting on Feb. 8 to join the Retail, Wholesale and Department Store Union.",CNBC
96,2021-01-15 10:12:31-08:00,Foreign Amazon sites named in U.S. list of notorious markets for counterfeit goods,"Amazon sites in the U.K., Germany, Spain, France and Italy were named in the U.S. government's annual ""notorious markets"" report.",CNBC
